date,selected_filepath,selected_hhmm,source,valid_fraction,mean_valid_aod
04/11/2023,E:\Jun26_184170\3DIMG_04NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.311184939,0.550800072
05/11/2023,E:\Jun26_184170\3DIMG_05NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.331170242,0.514486008
06/11/2023,E:\Jun26_184170\3DIMG_06NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.364682626,0.444517767
07/11/2023,E:\Jun26_184170\3DIMG_07NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.381159375,0.387818324
08/11/2023,E:\Jun26_184170\3DIMG_08NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.366038439,0.429585242
09/11/2023,E:\Jun26_184170\3DIMG_09NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.381190424,0.430721821
10/11/2023,E:\Jun26_184170\3DIMG_10NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.393682533,0.36764724
11/11/2023,E:\Jun26_184170\3DIMG_11NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.458699455,0.317324647
12/11/2023,E:\Jun26_184170\3DIMG_12NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.39599052,0.365551536
13/11/2023,E:\Jun26_184170\3DIMG_13NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.392088676,0.383755485
14/11/2023,E:\Jun26_184170\3DIMG_14NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.33015597,0.383807058
15/11/2023,E:\Jun26_184170\3DIMG_15NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.384854224,0.366456939
16/11/2023,E:\Jun26_184170\3DIMG_16NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.360967078,0.386884013
17/11/2023,E:\Jun26_184170\3DIMG_17NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.326895809,0.383280283
18/11/2023,E:\Jun26_184170\3DIMG_18NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.331604931,0.397481602
19/11/2023,E:\Jun26_184170\3DIMG_19NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.32067563,0.416077127
20/11/2023,E:\Jun26_184170\3DIMG_20NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.375239337,0.384665689
21/11/2023,E:\Jun26_184170\3DIMG_21NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.390287826,0.352896467
22/11/2023,E:\Jun26_184170\3DIMG_22NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.424566088,0.334957745
23/11/2023,E:\Jun26_184170\3DIMG_23NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.426822326,0.353329797
24/11/2023,E:\Jun26_184170\3DIMG_24NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.390318875,0.350343835
25/11/2023,E:\Jun26_184170\3DIMG_25NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.383436313,0.34558436
26/11/2023,E:\Jun26_184170\3DIMG_26NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.314124259,0.360911398
27/11/2023,E:\Jun26_184170\3DIMG_27NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.245070947,0.305530574
28/11/2023,E:\Jun26_184170\3DIMG_28NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.290785647,0.322795886
29/11/2023,E:\Jun26_184170\3DIMG_29NOV2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.228915039,0.433852327
30/11/2023,,,,,
01/12/2023,E:\Jun26_184170\3DIMG_01DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.302677472,0.338963404
02/12/2023,E:\Jun26_184170\3DIMG_02DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.303940137,0.37484432
03/12/2023,E:\Jun26_184170\3DIMG_03DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.298030449,0.35861471
04/12/2023,E:\Jun26_184170\3DIMG_04DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.244325768,0.4422728
05/12/2023,E:\Jun26_184170\3DIMG_05DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.221049254,0.352078563
06/12/2023,E:\Jun26_184170\3DIMG_06DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.252108755,0.345321731
07/12/2023,E:\Jun26_184170\3DIMG_07DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.264393869,0.349827859
08/12/2023,E:\Jun26_184170\3DIMG_08DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.290837396,0.361980421
09/12/2023,E:\Jun26_184170\3DIMG_09DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.350068826,0.305419
10/12/2023,E:\Jun26_184170\3DIMG_10DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.394251767,0.293844544
11/12/2023,E:\Jun26_184170\3DIMG_11DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.412529367,0.310567097
12/12/2023,E:\Jun26_184170\3DIMG_12DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.398608998,0.383378609
13/12/2023,E:\Jun26_184170\3DIMG_13DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.451496052,0.352314719
14/12/2023,E:\Jun26_184170\3DIMG_14DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.457923226,0.353507045
15/12/2023,E:\Jun26_184170\3DIMG_15DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.45336935,0.286830729
16/12/2023,E:\Jun26_184170\3DIMG_16DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.449964293,0.29776102
17/12/2023,E:\Jun26_184170\3DIMG_17DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.463532772,0.302410799
18/12/2023,E:\Jun26_184170\3DIMG_18DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.439583527,0.316426259
19/12/2023,E:\Jun26_184170\3DIMG_19DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.443837261,0.339218628
20/12/2023,E:\Jun26_184170\3DIMG_20DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.446103849,0.354146808
21/12/2023,E:\Jun26_184170\3DIMG_21DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.493215761,0.335035866
22/12/2023,E:\Jun26_184170\3DIMG_22DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.376646899,0.379494762
23/12/2023,E:\Jun26_184170\3DIMG_23DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.436344066,0.34536145
24/12/2023,E:\Jun26_184170\3DIMG_24DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.468407489,0.330298377
25/12/2023,E:\Jun26_184170\3DIMG_25DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.492429182,0.284294011
26/12/2023,E:\Jun26_184170\3DIMG_26DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.479264342,0.310161417
27/12/2023,E:\Jun26_184170\3DIMG_27DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.501216092,0.306627478
28/12/2023,E:\Jun26_184170\3DIMG_28DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.474989909,0.336477304
29/12/2023,E:\Jun26_184170\3DIMG_29DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.457250494,0.385213677
30/12/2023,E:\Jun26_184170\3DIMG_30DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.449705551,0.385047355
31/12/2023,E:\Jun26_184170\3DIMG_31DEC2023_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.460003519,0.376318689
01/01/2024,E:\Jun26_184170\3DIMG_01JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.433932582,0.387080964
02/01/2024,E:\Jun26_184170\3DIMG_02JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.417600729,0.401298645
03/01/2024,E:\Jun26_184170\3DIMG_03JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.399809565,0.404927328
04/01/2024,E:\Jun26_184170\3DIMG_04JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.389377051,0.428835786
05/01/2024,E:\Jun26_184170\3DIMG_05JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.397222136,0.410718556
06/01/2024,E:\Jun26_184170\3DIMG_06JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.37366618,0.395376943
07/01/2024,E:\Jun26_184170\3DIMG_07JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.431790191,0.415738049
08/01/2024,E:\Jun26_184170\3DIMG_08JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.417114292,0.414399546
09/01/2024,E:\Jun26_184170\3DIMG_09JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.393941276,0.390142754
10/01/2024,E:\Jun26_184170\3DIMG_10JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.425145672,0.398673249
11/01/2024,E:\Jun26_184170\3DIMG_11JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.523126442,0.349959686
12/01/2024,E:\Jun26_184170\3DIMG_12JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.524420157,0.346409694
13/01/2024,E:\Jun26_184170\3DIMG_13JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.509050827,0.364273616
14/01/2024,E:\Jun26_184170\3DIMG_14JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.573384668,0.351442308
15/01/2024,E:\Jun26_184170\3DIMG_15JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.52030097,0.370098518
16/01/2024,E:\Jun26_184170\3DIMG_16JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.443019633,0.419937228
17/01/2024,E:\Jun26_184170\3DIMG_17JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.425124973,0.447543645
18/01/2024,E:\Jun26_184170\3DIMG_18JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.439831921,0.402438748
19/01/2024,E:\Jun26_184170\3DIMG_19JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.458823651,0.386846113
20/01/2024,E:\Jun26_184170\3DIMG_20JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.463863963,0.433685083
21/01/2024,E:\Jun26_184170\3DIMG_21JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.521232444,0.394898377
22/01/2024,E:\Jun26_184170\3DIMG_22JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.557870442,0.382060077
23/01/2024,E:\Jun26_184170\3DIMG_23JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.514122189,0.394057494
24/01/2024,E:\Jun26_184170\3DIMG_24JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.432887261,0.400125502
25/01/2024,E:\Jun26_184170\3DIMG_25JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.411308101,0.418821347
26/01/2024,E:\Jun26_184170\3DIMG_26JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.46326368,0.448298601
27/01/2024,E:\Jun26_184170\3DIMG_27JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.448391137,0.497280425
28/01/2024,E:\Jun26_184170\3DIMG_28JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.457633434,0.533715351
29/01/2024,E:\Jun26_184170\3DIMG_29JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.505780317,0.489915433
30/01/2024,E:\Jun26_184170\3DIMG_30JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.507063682,0.450205166
31/01/2024,E:\Jun26_184170\3DIMG_31JAN2024_0800_L2G_AOD_V02R00_AOD.tif,800,primary_0800,0.454890759,0.469563608
